run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y
1,True,21.12,33.1541159299995,264,0.242486991519878,-8,-9.5
2,True,14.56,19.507869858,182,0.23095329978737,-5.5,8
3,True,9.44,12.2408084790004,118,0.239612630026911,9.6,3
4,True,18.64,27.475163713003,233,0.239621625927484,-6.25,-8
5,True,15.12,20.3611397620007,189,0.231637340021764,2.5,-8
6,False,10.48,16.6754342070017,131,3.18693516285328,-4,0
7,False,5.92,9.28798326399919,74,3.812453410435,0,9.8
8,True,18.48,26.5023613649973,231,0.248319462417738,4,-9.5
9,True,15.68,22.5765329720016,196,0.240124624281302,-4.4,-5
10,False,80,125.411336557998,1000,0.507305981478657,9.5,-8
1,True,21.12,34.5988956389992,264,0.242486991519878,-8,-9.5
2,True,14.56,20.0106326700006,182,0.23095329978737,-5.5,8
3,True,9.44,12.7303914209988,118,0.239612630026911,9.6,3
4,True,18.64,28.3377279369997,233,0.239621625927484,-6.25,-8
5,True,15.12,20.6364378770013,189,0.231637340021764,2.5,-8
6,False,10.48,16.9924696380003,131,3.18693516285328,-4,0
7,False,5.92,9.45450946500205,74,3.812453410435,0,9.8
8,True,18.48,26.7407769349993,231,0.248319462417738,4,-9.5
9,True,15.68,22.8949438070013,196,0.240124624281302,-4.4,-5
10,False,80,130.337876014,1000,0.507305981478657,9.5,-8
1,True,21.12,35.3134392100001,264,0.242486991519878,-8,-9.5
2,True,14.56,20.1794235720008,182,0.23095329978737,-5.5,8
3,True,9.44,12.5319653129991,118,0.239612630026911,9.6,3
4,True,18.64,27.8677746799985,233,0.239621625927484,-6.25,-8
5,True,15.12,20.2438835219982,189,0.231637340021764,2.5,-8
6,False,10.48,16.901380886,131,3.18693516285328,-4,0
7,False,5.92,9.27838367000004,74,3.812453410435,0,9.8
8,True,18.48,26.5652176590011,231,0.248319462417738,4,-9.5
9,True,15.68,22.7008655280006,196,0.240124624281302,-4.4,-5
10,False,80,125.253160853001,1000,0.507305981478657,9.5,-8
1,True,21.12,34.0439715329994,264,0.242486991519878,-8,-9.5
2,True,14.56,19.8651755079991,182,0.23095329978737,-5.5,8
3,True,9.44,12.563725586002,118,0.239612630026911,9.6,3
4,True,18.64,28.4210123440025,233,0.239621625927484,-6.25,-8
5,True,15.12,20.5333964460006,189,0.231637340021764,2.5,-8
6,False,10.48,16.7737481449985,131,3.18693516285328,-4,0
7,False,5.92,9.40208556700236,74,3.812453410435,0,9.8
8,True,18.48,26.978150253999,231,0.248319462417738,4,-9.5
9,True,15.68,22.747359465,196,0.240124624281302,-4.4,-5
10,False,80,126.561085900998,1000,0.507305981478657,9.5,-8
1,True,21.12,33.7042634860009,264,0.242486991519878,-8,-9.5
2,True,14.56,19.6170466740005,182,0.23095329978737,-5.5,8
3,True,9.44,12.3786394319977,118,0.239612630026911,9.6,3
4,True,18.64,27.8903793009995,233,0.239621625927484,-6.25,-8
5,True,15.12,20.1330745150008,189,0.231637340021764,2.5,-8
6,False,10.48,16.6586399980006,131,3.18693516285328,-4,0
7,False,5.92,9.29265803900125,74,3.812453410435,0,9.8
